"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x2e55b45bb81a3136d27bd09774d0871179a4c94007a95b7a8452a076a93169fb","11106195","1603372300","2020-10-22 13:11:40","0x64631b5d259ead889e8b06d12c8b74742804e5f1","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","10","$9.98","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x8228d4a062f49bc9d8f4375e0ce0a15096dd8a38ee76af74e117205d4a3e8d79","11106226","1603372635","2020-10-22 13:17:15","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0x64631b5d259ead889e8b06d12c8b74742804e5f1","10","$9.98","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xa5587c01b2d395860238cff161752848c38e4e1f02129a4d17af0cfe6cf10492","11106233","1603372731","2020-10-22 13:18:51","0x64631b5d259ead889e8b06d12c8b74742804e5f1","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","10","$9.98","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x639cedc0495f8ce17fdf21d65d80bffe6e1ff6d4834c5172f08865c349a91bef","11106265","1603373143","2020-10-22 13:25:43","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0x64631b5d259ead889e8b06d12c8b74742804e5f1","10","$9.98","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xeecaa471218a68af82a287536964fd9edd573e8c44894b5446fec9a2236bf253","11111533","1603442868","2020-10-23 08:47:48","0x564286362092d8e7936f0549571a803b203aaced","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","25,000","$25,009.01","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xf641cc21d92956013b9244b5547aff34dc383616c373ac20c4f8f57a47fecec3","11111750","1603446040","2020-10-23 09:40:40","0x084eee2eecfe51fca9d648ec1e0e1e5c1fbfdbeb","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","2,500","$2,499.82","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x76b949c2956b41e055b4a2889f8cb0ac695cb827998d7cfda1abbff557e6b68a","11111851","1603447329","2020-10-23 10:02:09","0xe7783f27b9c14d559e577b00a6ac4e0e605b7576","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","25,000","$25,009.01","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x357db5443c4e6092364666a751c789c3d9288285e2eb33e62ff6171672156287","11127328","1603652656","2020-10-25 19:04:16","0xd57c7b7802ebb9571e16970c90db98a7e707f915","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","25,000","$25,002.00","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x20c41f225ddb8d51d9f96c28f135fa20280935d12201839fe361323035d907e5","11130033","1603688343","2020-10-26 04:59:03","0x197f02052b9157363594d5462e5773c66b9084cf","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","10","$10.00","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x6f64875d7d2c94732abf288b31922c3dc4cefd24d7734a2d35ecee55e8d35d0e","11130686","1603697442","2020-10-26 07:30:42","0xa13c2e81f524017128de7f6cb9bd6abbc5484683","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","99,990","$100,022.78","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xd1cdd0075e5feed78c3d88f42cf6a4c78811176a0f4311a0e03db6d102fe38b2","11133764","1603738265","2020-10-26 18:51:05","0xb45b74eb35790d20e5f4225b0ac49d5bb074696e","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","100,000","$100,032.78","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xbc685c5bf3e7ed97ba18ea136c07466f1a255f4b1e004027dc5c9ab6af8bbdcf","11137461","1603786875","2020-10-27 08:21:15","0x41797b5e0398af475422f6f33f2dc81d9a24ae33","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","2,500","$2,499.01","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xcdea90a8dd2eb2954f8327e90c812b10a40fcce8a5ca0c30f9fc1208f0b4fc41","11146178","1603901743","2020-10-28 16:15:43","0xa8a8441ba1b78fdd19c244c633ba96cf01b7eac4","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","15,000","$14,994.26","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x3bd50ae5d03bb6bac246561ea955c68361edec87d77e089f7994be1d99bdacdd","11196964","1604576024","2020-11-05 11:33:44","0xdfaa87ce92884fb7b5f41a60875cb46a210b2297","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","1","$1.00","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x0c2835acfd285186197e3a854387bd2b76c071a49814e9ea84cd692893d8d4f2","11196989","1604576335","2020-11-05 11:38:55","0xdfaa87ce92884fb7b5f41a60875cb46a210b2297","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","5,999","$6,013.25","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xc6d273f4bf3966ef7e15defa4f377970e43c0be859458ff8917979fd969a4499","11229915","1605012535","2020-11-10 12:48:55","0x564286362092d8e7936f0549571a803b203aaced","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","25,000","$24,927.80","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x47964317e85e19733e609f5ef425aa31076c8f532fb1dd5d7800484e20edfeed","11242357","1605178170","2020-11-12 10:49:30","0xd551234ae421e3bcba99a0da6d736074f22192ff","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","10","$10.00","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x68144adc1e9122a00dec21b12faf2fc31496e6ca807da87ccc6c6e801b13fe90","11249440","1605271644","2020-11-13 12:47:24","0xd551234ae421e3bcba99a0da6d736074f22192ff","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","99,990","$100,115.51","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x5c4aa03200447e306981dee25cd8cc0b1377136a11937b49bc5c7d2f1e98fffb","11366469","1606823559","2020-12-01 11:52:39","0xe7783f27b9c14d559e577b00a6ac4e0e605b7576","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","10,000","$10,013.83","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x1f58d1790b85fc4688b6f504e96f796ea4e9b1c60a9756340b19edc54777f9f6","11371619","1606893264","2020-12-02 07:14:24","0x564286362092d8e7936f0549571a803b203aaced","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","100,000","$99,909.05","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x22d89c35ae65708049b313b22990882a7c056fdfb6ed905152ed593251effa8c","11376294","1606954471","2020-12-03 00:14:31","0x1d216b8706be76f7906eb5872835ce5567fd2ef5","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","30,000","$29,977.19","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xb63dd851d19bc6a2c9e12bb973b9278b53b99c66bd468948076fc11e9490e980","11382985","1607042877","2020-12-04 00:47:57","0xb45b74eb35790d20e5f4225b0ac49d5bb074696e","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","30,000","$30,119.60","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0x9bcd7baee4196fee247f14b140a99df6d2a9c4d597ee2dec349324030885535a","11400218","1607271412","2020-12-06 16:16:52","0xe016ec54349e1fdc09c86878f25760ed317a7911","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","20,000","$19,991.59","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x33bfcea2b20502360f7e791ce1cae5126493e1eac2e0c8c614eb2ff6c80aca85","11401844","1607293383","2020-12-06 22:23:03","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0x6eb7c9dff4dca63ee15a0322bea55034d8ae0478","3,744","$3,749.01","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xa03b1154ecd8c728f2308174002c842c35f2cfb7ad27249b723247015cba75bd","11413293","1607446348","2020-12-08 16:52:28","0xce10eb700e8234bb75af72648e402d907b99efc1","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","90,000","$90,001.21","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x4223a7e5677b6cdd9306fe9abd08dbaf5a77189f0f7eac034837d0436d9a7660","11419682","1607530364","2020-12-09 16:12:44","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","0xb5a827f02a7146b8de03228343e4a4a34fd7929d","46,910","$46,924.56","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0xea82a9c4ddfdf9f47797b757d74eebf2ead56d536f475f8699281426e83edd5c","11495918","1608543113","2020-12-21 09:31:53","0xd551234ae421e3bcba99a0da6d736074f22192ff","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","50,000","$50,101.49","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xc215b4fca98ae836d3683042f408a41a30d46df2164e6c066ae19b857f4bd92e","11501201","1608613012","2020-12-22 04:56:52","0x3d72cce679fc4eaa2e31842babf9ab01e1009331","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","25,000","$25,049.04","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
"0xf8ef0448b53de5929e474fd677cbcd1b403d32e80e7a7b86c0c07f19b1893475","11545012","1609192306","2020-12-28 21:51:46","0xe7783f27b9c14d559e577b00a6ac4e0e605b7576","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","20,000","$20,060.31","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USDC","USDC"
"0x524513400bcf445a642859d99b6dfe4828638023c8a3ccdd35e848ebabacacaa","11604139","1609976986","2021-01-06 23:49:46","0x8810bf9ad94c9b9ecf70b489bbed91239a1fc877","0xbe25a20497bce2764659e102f8c1bdbdc4d8db5c","25,000","$25,195.79","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT"
