"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x2a9038b1a8f619ecf6b510e38329fa359104e2594f6bde263726494ad7cb5220","14119837","1643714897","2022-02-01 11:28:17","0x5a3e535c93558bd89287aa4ef3752fd726517673","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","1,265,625","$584,351.76","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x29b758df28d6bfaf4bb9afdcbbff2d79cd15e2ed3cd5b67b9a515f69e66f4d51","14218750","1645035822","2022-02-16 18:23:42","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x3962d3204b8aeccb133469568183cac310d4dc44","33,494","$14,200.52","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x13a5d761ca7eab3fa6aeeee265600e718b37481da491c6b2b336e2657b97a2f8","14218758","1645035920","2022-02-16 18:25:20","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xc150cd6e840c585b17a8f386f7ab29b3b948572f","13,403","$5,682.50","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0xb45d23401198f01a49d41ba946e3b56f196ccdb0cfd5e1876c20c2e78588c7bc","14805766","1652974699","2022-05-19 15:38:19","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x3962d3204b8aeccb133469568183cac310d4dc44","44,985.854962384259259259","$11,738.14","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x0868d6297125baebecbe1840d6594a5b869d57a9bdedb9d0f8ea09fd9e46ffb2","14816546","1653126517","2022-05-21 09:48:37","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xc150cd6e840c585b17a8f386f7ab29b3b948572f","18,431.346249594907407407","$4,807.80","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x940d574688d0175bad51bfe25be23e313703df0330e6d2b7f1d20fe56e3b0dc3","14840649","1653464855","2022-05-25 07:47:35","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xc5e5eadb8ae93967e819e8723b854ee8c4368758","7,069.2561078125","$2,084.23","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x1de34fd3f8399d1405f573af16c2fca6a0437d52280727266dd419097fb3b12b","14846982","1653553816","2022-05-26 08:30:16","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x3962d3204b8aeccb133469568183cac310d4dc44","2,794.206011284722222222","$713.55","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x58c1ac03f4937cc993ba328905c35c5686ea9464b63d4d568f65240123d8be27","14872296","1653910068","2022-05-30 11:27:48","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x3962d3204b8aeccb133469568183cac310d4dc44","1,718.895283564814814815","$435.88","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x0db51d29a074c438f660e35d882be7c4703eb6256d007bd27cf4226b2b90d330","14920181","1654595738","2022-06-07 09:55:38","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x3962d3204b8aeccb133469568183cac310d4dc44","3,308.318070023148148148","$824.53","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x3f261c7a6aa812ab3eb4614be70b369a5b66d7b1bda622495bf9f20465515eb6","14961200","1655201427","2022-06-14 10:10:27","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xc150cd6e840c585b17a8f386f7ab29b3b948572f","4,023.410190827546296296","$991.51","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0xc34ef23c4c8413c61ccd5d570797a7968a493d91c1ac43a91a7975920bd4c1ce","14967085","1655290104","2022-06-15 10:48:24","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x3962d3204b8aeccb133469568183cac310d4dc44","3,350.275766782407407407","$818.25","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0xb118665fe7260895ff4074b5b45a8156a63c049f5c98758827159f763c429c1e","14989953","1655629751","2022-06-19 09:09:11","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x0562c625e47b8f9eef9dd783ec761af8653edfce","240,886.020833333333333333","$55,650.13","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x69dcc6770ab3305af393a91d4820556d3901184b8c7a06080802040ae90afd56","15023181","1656151750","2022-06-25 10:09:10","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xc150cd6e840c585b17a8f386f7ab29b3b948572f","1,842.749441073495370371","$398.01","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0xded4b89913d55c69c3c1cac2c0ad2b74fb11d103ec5bf9cb57ee5eee8151bb48","15023928","1656164193","2022-06-25 13:36:33","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x3962d3204b8aeccb133469568183cac310d4dc44","4,217.428841145833333334","$910.92","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0xa55aae4b9e727536655bfb3fb16779f069271f14be85464625a29aa5f2492ea0","15062492","1656756815","2022-07-02 10:13:35","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xf37fd9185bb5657d7e57ddea268fe56c2458f675","48,726.722916666666666666","$7,432.33","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0xedda6388d2f7bde3e72928a6b83d998154f012cc637db827a90333222b4a24dc","15069139","1656845563","2022-07-03 10:52:43","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xc150cd6e840c585b17a8f386f7ab29b3b948572f","1,345.356808116319444444","$277.98","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0xa56eab89cf8039f130807c2ec1e2530c748621844d79c1436cd3da90071adc69","15069494","1656850076","2022-07-03 12:07:56","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x0562c625e47b8f9eef9dd783ec761af8653edfce","15,536.545138888888888889","$3,210.17","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0xd1b90584dddc7527809720171ff7a4d461fbc9da1864fa0eb0118390dd408625","15094353","1657182355","2022-07-07 08:25:55","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xaadd396a495f6ba70322a7e414cbf792e7003274","9,871.638842129629629629","$694.86","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0xcbf2455b7e273a8e6baafa920295d144b6c9183e8cc0a3e18bea771cd8095dd6","15107818","1657362526","2022-07-09 10:28:46","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xc150cd6e840c585b17a8f386f7ab29b3b948572f","1,002.431046397569444444","$70.56","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x64ee8e497b0bc46b2287d8a987c79ac7cf891bd5f35831d8c8d68429602bdcd1","15120066","1657525367","2022-07-11 07:42:47","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x3962d3204b8aeccb133469568183cac310d4dc44","6,567.585778356481481481","$461.04","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x6fb78a247b51ff95bac06c661995839b8629e464f0d55099c77888c8c0985ebe","15127819","1657629205","2022-07-12 12:33:25","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x79635b386b9bd6636cd701879c32e6dd181c853f","7,360","$441.27","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x6fb78a247b51ff95bac06c661995839b8629e464f0d55099c77888c8c0985ebe","15127819","1657629205","2022-07-12 12:33:25","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xf37fd9185bb5657d7e57ddea268fe56c2458f675","13,760","$824.99","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x6fb78a247b51ff95bac06c661995839b8629e464f0d55099c77888c8c0985ebe","15127819","1657629205","2022-07-12 12:33:25","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xe1c4dbeedb120a09ae61b5ae85e500d1fe7a0506","9,600","$575.58","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x6fb78a247b51ff95bac06c661995839b8629e464f0d55099c77888c8c0985ebe","15127819","1657629205","2022-07-12 12:33:25","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x407323bee2ae3d90819a3f32cfca086daedc8ab9","45,500","$2,727.99","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0xcf1ee59a6f16ce2de0b44879264a875d90073c33dcae410b1b985779066455e1","15139916","1657790726","2022-07-14 09:25:26","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x0562c625e47b8f9eef9dd783ec761af8653edfce","11,975.868055555555555555","$656.04","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x1370a68af9c61c99bc003e852062f9b04b73bf87091bf5fcf1300112121bb304","15152394","1657956885","2022-07-16 07:34:45","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xc150cd6e840c585b17a8f386f7ab29b3b948572f","1,152.507847381365740741","$59.66","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x4086708d39206e1241b2978056c01b4e5165a938bb3569872fbb6eac8abf2541","15198270","1658570714","2022-07-23 10:05:14","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xc150cd6e840c585b17a8f386f7ab29b3b948572f","1,190.261675940393518519","$60.80","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0x5d9b3a23891217b8faa607ea1d8d629d00b34b4e13ee901e0e8cb5d3ee837ed3","15208099","1658703008","2022-07-24 22:50:08","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0xf37fd9185bb5657d7e57ddea268fe56c2458f675","4,730.330208333333333334","$240.21","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
"0xd9e5652336385e8137b08c87f85c7168d94b2d3c0dd2cecd762e642b06e7611e","15210822","1658740789","2022-07-25 09:19:49","0xeaab5ec0f9dc67d9e2810c02117abb33537a68d8","0x3962d3204b8aeccb133469568183cac310d4dc44","5,864.340813078703703704","$298.19","0x0275e1001e293c46cfe158b3702aade0b99f88a5","Oiler","OIL"
